,PMCID,sentence_id,CONSORT_Item,labels,section,text,metamap_concepts,metamap_concepts_text,metamap_semantictypes
144,PMC3018567,S108,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"cytokine and antibody responses showed skewed distributions, with disproportionate numbers of zero values.","['C3665580', 'C4284144', 'C0079189', 'C0919414', 'C0003241', 'C0042295', 'C1515981', 'C0037775', 'C1167408', 'C0021027', 'C0449788', 'C0237753', 'C0871261']","['Response process', 'Count of entities', 'Zero Activity Time', 'And', 'Immunoglobulins', 'Numbers', 'Arabic numeral 0', 'Values', 'Antibodies', 'immunoglobulin complex location', 'Spatial Distribution', 'cytokine', 'Immunoglobulin complex location, circulating']","['idcn', 'spco', 'celc', 'qlco', 'imft', 'fndg', ' phsu', ' aapp', 'qnco', 'orga']"
145,PMC3018567,S109,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,results were transformed to log10(concentration+1) and analysed by linear regression with bootstrapping to estimate bias-corrected accelerated confidence intervals.36,"['C0086045', 'C1504315', 'C0009667', 'C2346679', 'C1446561', 'C3827302', 'C1515981', 'C0005346', 'C0242568', 'C1690986', 'C0023733']","['Linear Regression Body Surface Area Formula for Infants and Children', 'Concentration measurement', 'log10', 'Linear Regression', 'Mental concentration', 'And', 'Biases', 'Confidence Intervals', 'Bias genus', 'Bias (Epidemiology)', 'Able to Concentrate Question']","['inpr', 'idcn', 'bird', 'menp', 'qnco']"
146,PMC3018567,S110,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,regression coefficients were back-transformed to give geometric mean ratios.,"['C2986759', 'C0205095', 'C0684321', 'C0456603', 'C0684320', 'C1836830', 'C0460009', 'C0004600']","['Back', 'Ratio', 'Disease regression', 'Geometric Mean', 'Dorsal', 'Regression - mental defense mechanism', 'Developmental regression', 'Back structure, including back of neck']","['blor', 'patf', 'spco', 'dsyn', 'menp', 'qnco']"
147,PMC3018567,S111,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,interactions were examined with wald tests.,"['C0022885', 'C0392366']","['Laboratory Procedures', 'Tests (qualifier value)']","['lbpr', 'inpr']"
148,PMC3018567,S112,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"for doctor-diagnosed disease incidence, time at risk began at birth and was censored at loss to follow-up, death, or age 1 year.","['C0439234', 'C0005615', 'C1550722', 'C0040223', 'C1306577', 'C1515981', 'C0035647', 'C0011900', 'C0026538', 'C0031831', 'C1148523', 'C1517945', 'C4552904', 'C3245487', 'C0001779', 'C0011065', 'C2348314']","['Subject Risk', 'Cessation of life', 'Loss', 'Risk', 'Morbidity - disease rate', 'And', 'Name Given at Birth', 'Death (finding)', 'Age', 'Diagnosis', 'Physicians', 'Time', 'Doctor - Title', 'Childbirth', 'year', 'Entity Name Part Qualifier - birth', 'Birth']","['inpr', 'idcn', 'prog', 'cnce', 'fndg', 'tmco', 'diap', 'orgf', 'qnco', 'orga']"
149,PMC3018567,S113,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"all children with known date of birth were included in the analysis until censoring, irrespective of whether they had made a clinic visit for illness.","['C0008059', 'C0221423', 'C0205309', 'C0442592', 'C0005615', 'C1550722', 'C0936012', 'C1512346', 'C0545082', 'C2826704', 'C1524024', 'C2348077', 'C0680063', 'C0444868', 'C1148523', 'C0011008', 'C3245487', 'C0002424']","['Date in time', 'Clinic', 'Visit', 'All', 'analysis aspect', 'Patient Visit', 'Name Given at Birth', 'Child', 'Date Fruit', 'Known', 'Analysis', 'Illness (finding)', 'Visit Name', 'Offspring', 'Childbirth', 'Ambulatory Care Facilities', 'Entity Name Part Qualifier - birth', 'Birth']","['sosy', 'inpr', 'aggp', 'famg', 'ftcn', 'mnob', 'tmco', 'food', 'qlco', 'resa', 'bhvr', 'hlca', ' hcro', 'orgf', 'qnco']"
150,PMC3018567,S114,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"for each disease, we calculated incidence rates for all events.","['C3541888', 'C0021149', 'C1457900', 'C0441471', 'C0012634', 'C0444868', 'C0220856']","['incidence of cases', 'CDISC Events Class', 'All', 'Incidence', 'Disease', 'Each (qualifier value)', 'Event']","['clas', 'ftcn', 'dsyn', 'qnco', 'evnt']"
151,PMC3018567,S115,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"disease episodes within 14 days of an initial presentation with the same disease were regarded as part of the same episode and excluded from the analysis; time at risk was adjusted accordingly, excluding these 14-day periods from the total person-time denominator.","['C0332189', 'C0039828', 'C1554077', 'C2825218', 'C0439810', 'C1515981', 'C0012634', 'C1524024', 'C2347489', 'C2828389', 'C0936012', 'C1555582', 'C1292711', 'C0027361', 'C0449450', 'C0332173', 'C0332196', 'C0439228', 'C0205265', 'C4552904', 'C1517320', 'C0445247', 'C0040223', 'C1279901', 'C1705685', 'C0035647']","['Initial (abbreviation)', 'Theses', 'Exclusion', 'day', 'Firstly', 'And', 'Persons', 'From', 'Time', 'Initially', 'Denominator', 'part of', 'Excluded - Conformance Inclusion', 'Total', 'Subject Risk', 'Initial Usage', 'Person Observer', 'Risk', 'Daily', 'Same', 'Exclude', 'Episode of', 'analysis aspect', 'Presentation', 'Analysis', 'Disease']","['grup', 'inpr', 'idcn', 'acty', 'popg', 'ftcn', 'cnce', 'spco', 'tmco', 'qlco', 'resa', 'dsyn', 'qnco']"
152,PMC3018567,S116,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"hazard ratios (hrs) for effects of treatment were calculated with cox regression, with robust ses to allow for within-child clustering.","['C0008059', 'C1568891', 'C0598697', 'C3538994', 'C1705169', 'C3887704', 'C0684321', 'C2986815', 'C0456603', 'C0087111', 'C0684320', 'C1280500', 'C0009085', 'C1836830', 'C0680063', 'C1533734', 'C1522326', 'C0332285', 'C0039798', 'C1565830']","['Effect', 'Therapeutic procedure', 'Treatment Epoch', 'HGS protein, human', 'Biomaterial Treatment', 'Robust', 'Ratio', 'Administration procedure', 'Treating', 'Disease regression', 'Within', 'hazard', 'therapeutic aspects', 'treatment - ActInformationManagementReason', 'Offspring', 'Regression - mental defense mechanism', 'PTGS1 protein, human', 'Developmental regression', 'statistical cluster', 'Child']","['bacs', 'aggp', 'famg', 'topp', 'enzy', 'ftcn', 'cnce', 'patf', 'qlco', 'spco', 'hlca', 'resa', 'dsyn', 'menp', ' aapp', 'qnco']"
153,PMC3018567,S117,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"for community-reported illness data, a generalised-estimating-equation approach with exchangeable correlation structure was used to model effects of treatment on repeated binary outcomes.","['C1511726', 'C0684224', 'C0678594', 'C0449445', 'C3887704', 'C1705169', 'C1706942', 'C3714741', 'C0750572', 'C0039798', 'C3538994', 'C0221423', 'C0205246', 'C0552449', 'C1280500', 'C0009462', 'C0700287', 'C3245479', 'C0087111', 'C1707520', 'C1522326', 'C1533734', 'C4319718', 'C0205341']","['Reporting', 'Generalized', 'Biomaterial Treatment', 'Data call receiving device', 'Therapeutic procedure', 'Reported', 'Repeat', 'equation', 'Administration procedure', 'Community', 'Estimated', 'Treatment Epoch', 'Approach', 'therapeutic aspects', 'treatment - ActInformationManagementReason', 'Correlation', 'Data', 'Effect', 'Report (document)', 'structure', 'Treating', 'Illness (finding)', 'Data (eukaryote)', 'Binary']","['sosy', 'grup', 'inpr', 'idcn', 'topp', 'medd', 'ftcn', 'spco', 'cnce', 'qlco', 'euka', 'resa', 'hlca', 'qnco']"
154,PMC3018567,S118,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,odds ratios (ors) for the effects of treatment on vertical hiv transmission were calculated with logistic regression.,"['C0205128', 'C0028873', 'C0019682', 'C3887704', 'C0069590', 'C0242781', 'C1705169', 'C0087111', 'C1963718', 'C0040722', 'C1280500', 'C1521797', 'C0206031', 'C1522326', 'C1533734', 'C0039798', 'C3538994']","['Vertical', 'Effect', 'Treatment Epoch', 'HIV', 'Logistic Regression', 'ORALIT', 'Biomaterial Treatment', 'disease transmission', 'Treating', 'Administration procedure', 'transmission process', 'therapeutic aspects', 'treatment - ActInformationManagementReason', 'Oculorespiratory syndrome', 'disease transmission qualifier', 'Odds Ratio', 'Therapeutic procedure']","['idcn', 'inch', 'topp', 'ftcn', 'cnce', 'patf', 'qlco', 'virs', 'spco', 'resa', ' phsu', 'hlca', 'npop', 'qnco', 'dsyn']"
155,PMC3018567,S119,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,the prevalence of asymptomatic malaria at 1 year was compared between treatment groups with logistic regression.,"['C3541306', 'C0439234', 'C2984572', 'C1552839', 'C0033105', 'C0441833', 'C1705169', 'C0687744', 'C3538994', 'C0087111', 'C0231221', 'C3887704', 'C0039798', 'C0206031', 'C1522326', 'C1533734', 'C0220900', 'C0024530']","['Prevalence aspects', 'year', 'Plasmodium Measurement', 'Treatment Epoch', 'Groups', 'Malaria', 'Logistic Regression', 'Statistical Prevalence', 'Biomaterial Treatment', 'Table Rules - groups', 'Administration procedure', 'Treating', 'therapeutic aspects', 'symptomless', 'treatment - ActInformationManagementReason', 'Therapeutic procedure', 'Malaria Pathway', 'Social group']","['inpr', 'idcn', 'lbpr', 'topp', 'popg', 'ftcn', 'cnce', 'fndg', 'tmco', 'resa', 'dsyn', 'hlca', 'qnco']"
156,PMC3018567,S120,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"infant mortality per 1000 livebirths was estimated from kaplan-meier survival probabilities to age 1 year, and effects of maternal anthelmintic treatment were assessed by cox regression.","['C3887704', 'C1705169', 'C1515981', 'C0684320', 'C0038952', 'C1836830', 'C0220921', 'C0003158', 'C0684321', 'C0021278', 'C0039798', 'C3538994', 'C1565830', 'C0033204', 'C3536838', 'C1280500', 'C0439234', 'C0087111', 'C1522326', 'C1533734', 'C2347083', 'C0001779']","['Antihelminthic [EPC]', 'Anthelmintics', 'Probability', 'And', 'Biomaterial Treatment', 'Continuance of life', 'PTGS1 protein, human', 'Therapeutic procedure', 'Age', 'Administration procedure', 'Infant Mortality', 'Developmental regression', 'Maternal Relative', 'Treatment Epoch', 'survival aspects', 'Disease regression', 'therapeutic aspects', 'treatment - ActInformationManagementReason', 'Regression - mental defense mechanism', 'year', 'Effect', 'Treating']","['idcn', 'acty', 'famg', 'topp', 'enzy', 'phsu', 'ftcn', 'cnce', 'patf', 'qlco', 'hlca', 'tmco', 'resa', 'dsyn', 'menp', ' aapp', 'qnco', 'orga']"
157,PMC3018567,S121,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"weight-for-age, height-for-age, and weight-for-height z scores at 1 year were derived from who growth standard reference scales, with igrowup macros.","['C0220844', 'C0489786', 'C0175659', 'C1515981', 'C1514811', 'C4321252', 'C0005910', 'C1706462', 'C1621966', 'C0043100', 'C1442989', 'C0521125', 'C0439234', 'C1305866', 'C2911660', 'C2828392', 'C1705104', 'C0018270', 'C0222045', 'C0871421', 'C3272598', 'C0001779']","['Standard (document)', 'growth aspects', 'And', 'Weight', 'Preposition For', 'WWOX wt Allele', 'Tissue Growth', 'Age', 'Bibliographic Reference', 'Reference Object', 'Standard (qualifier)', 'WHO Temperature/Humidity Storage Condition', 'z-score', 'Growth', 'year', 'Importance Weight', 'Weight measurement scales', 'Growth action', 'Body Weight', 'Height', 'Weighing patient', 'Integumentary scale']","['ortf', 'bpoc', 'phpr', 'inpr', 'idcn', 'phsf', 'gngm', 'medd', 'cnce', 'qlco', 'tmco', 'hlca', 'orgf', 'qnco', 'orga']"
158,PMC3018567,S122,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,we examined effects of maternal treatment on z scores and on haemoglobin at 1 year by linear regression.,"['C0439234', 'C0019046', 'C3887704', 'C1705169', 'C2346679', 'C0087111', 'C1515981', 'C0039798', 'C1280500', 'C1522326', 'C1533734', 'C2347083', 'C0871421', 'C0023733', 'C3538994']","['Linear Regression Body Surface Area Formula for Infants and Children', 'Maternal Relative', 'Effect', 'year', 'Treatment Epoch', 'Linear Regression', 'Biomaterial Treatment', 'And', 'z-score', 'Treating', 'Administration procedure', 'therapeutic aspects', 'treatment - ActInformationManagementReason', 'Therapeutic procedure', 'Hemoglobin']","['bacs', 'inpr', 'idcn', 'famg', 'topp', 'ftcn', 'cnce', 'qlco', 'tmco', 'resa', 'hlca', ' aapp', 'qnco']"
159,PMC3018567,S123,['12b'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,"we did two prespecified subgroup analyses, examining effects of albendazole treatment in children of mothers with a hookworm infection, and effects of praziquantel treatment in children of mothers with schistosomiasis.","['C0008059', 'C0036323', 'C0001911', 'C3887704', 'C1705169', 'C0087111', 'C0019911', 'C0032911', 'C0026591', 'C1515981', 'C1280500', 'C1515021', 'C1079230', 'C0680063', 'C1533734', 'C1522326', 'C0205448', 'C0039798', 'C3538994']","['Effect', 'Treatment Epoch', 'Hookworm Infections', 'Biomaterial Treatment', 'And', 'Treating', 'Administration procedure', 'Schistosomiasis', 'Albendazole', 'Subgroup', 'Two', 'therapeutic aspects', 'treatment - ActInformationManagementReason', 'Subgroup A Nepoviruses', 'Offspring', 'Therapeutic procedure', 'Mother (person)', 'Praziquantel', 'Child']","['idcn', 'aggp', 'famg', 'clas', 'topp', 'ftcn', 'cnce', 'orch', 'qlco', 'virs', 'resa', ' phsu', 'hlca', 'qnco', 'dsyn']"
160,PMC3018567,S124,['12b'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,differences between subgroups were examined by fitting interaction terms in regression models.,"['C0684321', 'C0684320', 'C1079230', 'C1836830', 'C1704675', 'C3161035']","['Model', 'Disease regression', 'Interaction', 'Subgroup A Nepoviruses', 'Regression - mental defense mechanism', 'Developmental regression']","['inpr', 'ftcn', 'patf', 'virs', 'dsyn', 'menp']"
161,PMC3018567,S125,"['12a', '12b']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,all p values were two-sided with no adjustment made for multiple comparisons.,"['C0439064', 'C0042295', 'C0376209', 'C0683269', 'C0444868', 'C0205448', 'C0456081']","['Adjustment Action', 'All', 'Two', 'Numerous', 'Individual Adjustment', 'Values', 'Psychological adjustment']","['ftcn', 'qlco', 'qnco', 'inbe']"
162,PMC3018567,S126,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,analyses were done with stata 10.1.,,,
163,PMC3018567,S128,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Role of the funding source,"the sponsor of the study had no role in study design, data collection, data analysis, data interpretation, or writing of the report.","['C1511726', 'C0010995', 'C0684224', 'C0043266', 'C2584304', 'C4255046', 'C3714741', 'C3273238', 'C2983265', 'C2986888', 'C0010992', 'C2603343', 'C4283917', 'C2347796', 'C3173575', 'C1711305', 'C3887707', 'C0035171', 'C4050126', 'C0062074', 'C1705810', 'C0700287', 'C0035820', 'C3539897', 'C3245479', 'C1415458', 'C0459471', 'C3871154']","['Writing (function)', 'Reporting', 'Interpretation:Impression/interpretation of study:Point in time:^Patient:Nominal', 'Sponsor (person)', 'Role', 'Data call receiving device', 'Ability to Write question', 'Have', 'Research Design', 'Writing Ability', 'Regulatory Report', 'HADH gene', 'Nonclinical Study Design', 'Data Collection', 'Data Collection Methods', 'Social Role', 'Clinical Study Sponsor', 'Study', 'Data', 'Data Analysis', 'Report (document)', 'Report:Finding:Point in time:{Setting}:Document:{Role}', 'Interpretation Process', 'HAC protocol', 'Generic Role', 'Data (eukaryote)', 'CDISC SEND Study Design Terminology', 'Writing (occupation or discipline)']","['inpr', 'clna', 'idcn', 'gngm', 'ocdi', 'ocac', 'topp', 'medd', 'popg', 'qlco', 'euka', 'resa', 'socb', 'hlca', 'menp', 'qnco', 'orgt']"
164,PMC3018567,S129,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Role of the funding source,ame had full access to all the data in the study and had final responsibility for the decision to submit for publication.,"['C1511726', 'C1515981', 'C4321252', 'C3887949', 'C3714741', 'C3853528', 'C0678341', 'C0443225', 'C2603343', 'C1546485', 'C1704324', 'C0034037', 'C0679006', 'C0444454', 'C0062074', 'C0521125', 'C3539897', 'C3245479', 'C0034036', 'C1415458', 'C0444868', 'C1554204', 'C0205088']","['Role Class - access', 'And', 'Data call receiving device', 'Preposition For', 'Have', 'WWOX wt Allele', 'HADH gene', 'Final', 'responsibility', 'Diagnosis Type - Final', 'Publishing', 'Data (eukaryote)', 'full', 'All', 'Apparent mineralocorticoid excess', 'Study', 'Publications', 'Data', 'End-stage', 'HAC protocol', 'Decision', 'Scientific Publication', 'Access']","['inpr', 'inbe', 'idcn', ' mnob', 'gngm', 'ocac', 'topp', 'medd', 'ftcn', 'spco', 'qlco', 'euka', 'tmco', 'resa', 'dsyn', 'menp', 'qnco']"
165,PMC3018567,S46,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,the study is described in detail elsewhere.18,"['C2603343', 'C1561567', 'C1522508']","['Study', 'detail - Response Level', 'Details']","['ftcn', 'qlco', 'resa']"
166,PMC3018567,S47,['4b'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"briefly, the study area was entebbe municipality and katabi subcounty, beside lake victoria, uganda.","['C1550712', 'C0205146', 'C0997115', 'C0337049', 'C1515981', 'C0041573', 'C2603343', 'C0017446', 'C0600182', 'C0042645']","['Address Part Type- municipality', 'Lake (environment)', 'municipality', 'Area', 'And', 'Geographic Locations', 'Study', 'Uganda', 'Victoria Genus', 'Victoria Austrailia']","['idcn', 'geoa', 'plnt', 'spco', 'resa']"
167,PMC3018567,S48,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"the area is occupied by urban, rural, and fishing communities.","['C0240919', 'C0205146', 'C1515981', 'C0009462', 'C0442529', 'C0017446', 'C2700386']","['Rural', 'Urban environment', 'Geographic Locations', 'Area', 'And', 'Urban - qualifier', 'Community']","['grup', 'geoa', 'idcn', 'spco', 'fndg', 'qlco']"
168,PMC3018567,S49,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"helminth infection is highly prevalent in the area,19 and malaria, diarrhoea, and pneumonia are common in young children.20","['C0008059', 'C3541306', 'C0205214', 'C2984572', 'C0332239', 'C0205146', 'C0205250', 'C0018889', 'C1515981', 'C0032285', 'C0680063', 'C0017446', 'C1522138', 'C3245511', 'C0011991', 'C0024530']","['young', 'Plasmodium Measurement', 'Common Specifications in HL7 V3 Publishing', 'High', 'Malaria', 'shared attribute', 'Area', 'And', 'Geographic Locations', 'Helminthiasis', 'Diarrhea', 'Offspring', 'Common (qualifier value)', 'Malaria Pathway', 'Pneumonia', 'Child']","['sosy', 'inpr', 'idcn', 'geoa', 'aggp', 'lbpr', 'famg', 'ftcn', 'spco', 'qlco', 'tmco', 'dsyn', 'qnco']"
169,PMC3018567,S50,['4b'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"the study population consisted of pregnant women who presented at the government-funded antenatal clinic at entebbe general hospital between april 9, 2003, and nov 24, 2005, where roughly 70% of pregnant women from the study area received antenatal care.21","['C1706374', 'C0205146', 'C0016820', 'C0018104', 'C1515981', 'C3811652', 'C0017446', 'C0020008', 'C1274027', 'C0033011', 'C2603343', 'C1514756', 'C0949920', 'C3854060', 'C3715025', 'C2348561', 'C3715024', 'C1517320', 'C1121443', 'C0033052', 'C0205103', 'C3272598']","['Hospitals, General', 'Area', 'And', 'antenatal clinic', 'From', 'Study Population (group)', 'April', 'Receive', 'Prenatal care', 'government - ActInformationManagementReason', 'Pregnant Women', 'Funds', 'Intermediate', 'WHO Temperature/Humidity Storage Condition', 'Study', 'Government', 'Norovirus', 'TNFSF13 wt Allele', 'NOV protein, human', 'Geographic Locations', 'Tumor Necrosis Factor Ligand Superfamily Member 13', 'A Proliferation-Inducing Ligand Measurement']","['bacs', 'idcn', 'geoa', 'lbpr', 'gngm', 'ocac', 'popg', 'mnob', 'spco', 'qlco', 'tmco', 'virs', 'resa', 'hlca', ' aapp', ' hcro', 'qnco', 'orgt']"
170,PMC3018567,S51,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"women were included if resident in the study area, planning to deliver in the hospital, willing to know their hiv status, and in the second or third trimester of pregnancy.","['C2709249', 'C0205436', 'C3835651', 'C0205146', 'C1874964', 'C1515981', 'C0032961', 'C1705190', 'C0600109', 'C0017446', 'C0032981', 'C0457385', 'C1549439', 'C0043210', 'C2603343', 'C1301732', 'C0019994', 'C1561503', 'C2347958', 'C1320928', 'C0308779', 'C0458074', 'C1705822', 'C0032074']","['Woman', 'Area', 'And', 'Resident (person)', 'Resident - answer to question', 'DELIVER (Dietary Supplement)', 'human immunodeficiency virus status:History:Point in time:^Patient:Nominal', 'Pregnancy', 'DELIVER (veterinary product)', 'Cognitive function: planning', 'Planned', 'Second Suffix', 'Study', 'Human immunodeficiency virus (HIV) status', 'seconds', 'Pregnancy Trimester, Third', 'willing', 'Precision - second', 'Transfer Technique', 'Resident - Procedure Practitioner Identifier Code Type', 'second (number)', 'Geographic Locations', 'Resident (physician)', 'Hospitals']","['inpr', 'clna', 'idcn', 'geoa', 'prog', 'popg', 'ftcn', 'mnob', 'spco', 'tmco', 'orch', 'fndg', 'qlco', 'resa', ' phsu', 'menp', ' hcro', 'orgf', 'qnco', 'phsu']"
171,PMC3018567,S52,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"they were excluded if they had possible helminth-induced pathological changes (haemoglobin <80 g/l, clinically apparent severe liver disease, or diarrhoea with blood in stool), a history of an adverse reaction to anthelmintics, already been enrolled in the trial during an earlier pregnancy, or if the pregnancy was deemed abnormal by a midwife.","['C0262926', 'C1521733', 'C1279919', 'C0030664', 'C0750489', 'C0032961', 'C0008976', 'C4684790', 'C0019665', 'C1565156', 'C4050466', 'C0347984', 'C4050465', 'C1705910', 'C0015733', 'C0003158', 'C0262512', 'C0043194', 'C0205082', 'C0229664', 'C0018893', 'C0443172', 'C0019664', 'C0023895', 'C0205161', 'C2004062', 'C2699333', 'C0205263', 'C0332149', 'C0392747', 'C0456615', 'C0026083', 'C1705255', 'C0005767', 'C0439294', 'C1421478', 'C0005768', 'C0559546', 'C0011991']","['Feces', 'Medical History', 'In Blood', 'Anthelmintics', 'Borg Category-Ratio 10 Perceived Exertion Score 5', 'Possibly Related to Intervention', 'History', 'Possible', 'Pathologic', 'WAS protein, human', 'Blood', 'Clinical Trials', 'WAS gene', 'Changed status', 'Study Subject Enrolled', 'Severe (severity modifier)', 'Pregnancy', 'Midwife', 'Changing', 'apparent', 'Billion per Liter', 'Kilogram per Cubic Meter', 'Early', 'Concept History', 'History of present illness', 'Abnormal', 'During', 'Abnormal Reference Range', 'Liver diseases', 'Pathology', 'Historical aspects qualifier', 'Severe Extremity Pain', 'Wiskott-Aldrich Syndrome', 'Diarrhea', 'Induce (action)', 'Adverse reactions', 'Helminths', 'History of previous events', 'peripheral blood']","['bacs', 'fndg', 'bdsu', 'qlco', 'phsu', 'bmod', 'inpr', 'idcn', 'gngm', 'prog', 'patf', 'resa', ' aapp', 'orgf', 'sosy', 'ftcn', 'tmco', 'dsyn', 'ocdi', 'cnce', 'euka', 'qnco']"
172,PMC3018567,S53,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"all participants gave written, informed consent.","['C0679646', 'C0021430', 'C0444868']","['All', 'Informed Consent', 'Participant']","['popg', 'qnco', 'rnlw']"
173,PMC3018567,S54,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design and patients,"ethics approval was given by the uganda virus research institute, uganda national council for science and technology, and london school of hygiene and tropical medicine.","['C0020405', 'C1527243', 'C0035172', 'C0023973', 'C4321404', 'C0319157', 'C1551807', 'C3245503', 'C0015000', 'C0036375', 'C0041573', 'C1515981', 'C0205540', 'C0041186', 'C0036397', 'C0042776', 'C2346845', 'C2697909']","['London', 'Council Eskimos', 'Usually Need Help from Another Person for Hygiene', 'Virus', 'Hygiene', 'Research Institutes', 'And', 'Tropical Medicine', 'Ethics', 'Science', 'Approved', 'Letter of Authorization', 'National citizen', 'Uganda', 'Approval (document)', 'School', 'ethics qualifier', 'AS virus']","['bmod', 'inpr', 'rnlw', 'idcn', 'geoa', ' mnob', 'ocdi', 'popg', 'ftcn', 'qlco', 'virs', 'orgt']"
174,PMC3018567,S56,"['8b', '5', '3a']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",Randomisation and masking,"we used a two-by-two factorial design to randomly assign patients in a 1:1:1:1 ratio to receive simultaneously either single-dose albendazole (440 mg) and single-dose praziquantel (40 mg/kg), albendazole and a praziquantel-matching placebo, an albendazole-matching placebo and praziquantel, or an albendazole-matching placebo and a praziquantel-matching placebo (albendazole and matching placebo, glaxosmithkline, brentford, uk; praziquantel and matching placebo, medochemie ltd, limassal, cyprus).","['C0030705', 'C1515981', 'C0456603', 'C1708943', 'C1516050', 'C0681865', 'C1696465', 'C0521115', 'C0032911', 'C1552903', 'C1136140', 'C0010622', 'C0439272', 'C0150103', 'C1547037', 'C0178602', 'C3844638', 'C0205448', 'C0032042', 'C1706408', 'C0001911', 'C0205171', 'C0087136']","['And', 'Patients', 'placebo', 'Unmarried', 'Either', 'Match', 'Simultaneous', 'Placebos', 'Ratio', 'SmithKline Beecham', 'data type - ratio', 'Dosage', 'factorial design', 'Assignment - action', 'Singular', 'Albendazole', 'Two', 'mg/kg', 'Praziquantel', 'Cyprus', 'Placebo Control', 'Long-Term Synaptic Depression', 'MATCHING']","['ortf', 'inpr', 'geoa', 'idcn', 'qnco', 'topp', 'ftcn', 'fndg', 'orch', 'qlco', 'podg', 'resa', 'tmco', ' phsu', 'hcro', 'bodm']"
